,Familiarity Score,Knowledge Score,Skills Score
Intercept,4.519 *** (0.105) p: <0.001,7.268 *** (0.251) p: <0.001,1.801 *** (0.130) p: <0.001
Population - SPARK,0.343 *** (0.041) p: <0.001,2.003 *** (0.098) p: <0.001,0.860 *** (0.051) p: <0.001
Education - High School,0.658 *** (0.111) p: <0.001,1.070 *** (0.264) p: <0.001,0.575 *** (0.137) p: <0.001
Education - Undergraduate,0.903 *** (0.115) p: <0.001,1.627 *** (0.274) p: <0.001,0.938 *** (0.142) p: <0.001
Education - Graduate,1.151 *** (0.109) p: <0.001,2.628 *** (0.260) p: <0.001,1.137 *** (0.135) p: <0.001
,,,
N,4057,4057,4057
R2,0.064,0.151,0.102
Overall F statistic,68.781,180.685,115.379
Overall F p-value,<0.001,<0.001,<0.001
